isocode,country,agroecological_zones,administrative_areas,agricultural_practices,measuredItemCPC,crop,scientific_name,botanical_family,other_names,additional_information,planting_period_onset,,planting_period_end,sowing_planting_rate,sowing_planting_rate_range,sowing_planting_rate_unit,length_of_the_cropping_cycle,harvesting_period_onset,harvesting_period_end,comments,harvesting_month_onset,harvesting_month_end,sowing_month_start,sowing_month_end,,,,
DZA,Algeria,Western High Plains,"Tiaret, Saida, Tissemsilt",Cereals cultivation and grazed fallow,01251,Carrot,Daucus carota L.,Apiaceae,,,1-Jan,1-Jan,28/02,,5-Apr,kg/ha,65-90 days,6-Jan,20/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,6,,,,,,
DZA,Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),01219.90,Celery,Apium graveolens L. var. dulce,Apiaceae,,,1-Jan,1-Jan,31/05,,300-400,gr/ha,150-180 days,6-Jan,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,10,,,,,,
DZA,Algeria,West Littoral,Oran-Mostaganem,Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-potato),01219.90,Celery,Apium graveolens L. var. dulce,Apiaceae,,,1-Jan,1-Jan,31/05,,300-400,gr/ha,150-180 days,5-Jan,30/09,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,9,,,,,,
DZA,Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,01703,"Chick peas, dry",Cicer arietinum L.,Fabaceae,Gram,,1-Jan,1-Jan,15/03,,120-140,kg/ha,120-180 days,6-Jan,31/07,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,7,,,,,,
DZA,Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),01703,"Chick peas, dry",Cicer arietinum L.,Fabaceae,Gram,,1-Jan,1-Jan,15/03,,120-140,kg/ha,120-180 days,6-Jan,31/07,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,7,,,,,,
DZA,Algeria,East and Centre Sublittoral,"Bouira, Tizi-Ouzou, Constantine, Mila, Guelma, Souk Ahras, Blida",Irrigated vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-fallow),01703,"Chick peas, dry",Cicer arietinum L.,Fabaceae,Gram,,1-Jan,1-Jan,15/03,,120-140,kg/ha,120-180 days,6-Jan,31/07,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,6,7,,,,,,
DZA,Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),01231,"Pepper, hot",[several],Solanaceae,,First season,1-Jan,1-Jan,28/02,,250-300,gr/ha,120-160 days,5-Jan,31/07,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,7,,,,,,
DZA,Algeria,West Littoral,Oran-Mostaganem,Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-potato),01231,"Pepper, hot",[several],Solanaceae,,First season,1-Jan,1-Jan,28/02,,250-300,gr/ha,120-160 days,5-Jan,31/07,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,7,,,,,,
DZA,Algeria,South,"Adrar, Ouargla, Laghouat, Gardaia, El Oued, Biskra",Irrigated cereals and potato cultivation,01510,Potatoes,Solanum tuberosum L.,Solanaceae,,Season,1-Jan,1-Jan,31/03,,"2,500-2,700",kg/ha,90-120 days,5-Jan,30/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,6,,,,,,
DZA,Algeria,West Littoral,Oran-Mostaganem,Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-potato),01510,Potatoes,Solanum tuberosum L.,Solanaceae,,Season,1-Jan,1-Jan,31/03,,"2,500-2,700",kg/ha,90-120 days,5-Jan,30/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,6,,,,,,
DZA,Algeria,West Sublittoral,"Ain Témouchent, Sidi-Bel-Abbes, Tlemcen, Relizane, Mascara,  Chlef,  Ain Defla","Irrigated vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder, fallow-cereals, cereals-dry legumes or cereals-potato)",01510,Potatoes,Solanum tuberosum L.,Solanaceae,,Season,1-Jan,1-Jan,31/03,,"2,500-2,700",kg/ha,90-120 days,5-Jan,30/06,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,5,6,,,,,,
DZA,Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,East and Centre Sublittoral,"Bouira, Tizi-Ouzou, Constantine, Mila, Guelma, Souk Ahras, Blida",Irrigated vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-fallow),01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,South,"Adrar, Ouargla, Laghouat, Gardaia, El Oued, Biskra",Irrigated cereals and potato cultivation,01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,West Littoral,Oran-Mostaganem,Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder or cereals-potato),01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,West Sublittoral,"Ain Témouchent, Sidi-Bel-Abbes, Tlemcen, Relizane, Mascara,  Chlef,  Ain Defla","Irrigated vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereals-fodder, fallow-cereals, cereals-dry legumes or cereals-potato)",01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
DZA,Algeria,Western High Plains,"Tiaret, Saida, Tissemsilt",Cereals cultivation and grazed fallow,01251,Turnip,Brassica rapa L. subsp. rapa,Brassicaceae,,,1-Jan,1-Jan,30/11,,4,kg/ha,50-80 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
BEN,Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,15/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Cotton-Producing Zone of the North,"Municipalities:  Ségbana,  Banikoara,  Gogounou,  Kérou  Kouandé. Kandi South","Main crops: maize, sorghum, rice, yam, cassava, sweetpotato, cowpea, groundnut, soybean, tomato, pepper, okra. Maize cultivation is mostly fertilized.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,31/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Cotton-producing Zone of Centre Benin,"Municipalities:
Bassila, 
Tchaourou South, 
Kétou, ","Main crops: yam, cassava, sweetpotato, maize, sorghum, rice, groundnut, cowpea, soybean, Angola pea, dohi, goussi, tomato, pepper, okra",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,15/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Depression Zone,"Municipalities: Toffo, Lalo, Adja-Ouèrè,  Pobè.","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, Angola pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,15/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Fishing Zone,"Municipalities: Ouidah, Abomey-Calavi, Sô-Ava;Lokossa, Athiémé, Comè, Grand-Popo, Sèmè-Kpodji; Aguégué, Dangbo, Adjohoun, Bonou","Main crops: cassava, sweetpotato, taro, maize, rice, cowpea, groundnut, Angola pea, onion, tomato, pepper, okra, oil palm and coconut.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,15/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Food-Producing Zone of South Borgou,"Municipalities:   Péhunco,  Parakou,  N'dali,  Pèrèrè,  Nikki,  Kalalé,  Sinendé,  Bembèrèkè, Tchaorou North","Main crops: yam, cassava, sweetpotato, maize, sorghum, rice, cowpea, soybean, groundnut, voandzou, tomato, pepper, okra.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,31/03,,"2,000-3,000",setts/ha,150-270 days,31/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BEN,Benin,Northwest Atacora Zone,"Municipalities:  Ouaké, Copargo, Djougou West, Tanguiéta, Cobly, Matéri, Boukoumbé, Toucountouna.","Main crops: yam, cassava, sweetpotato, taro, maize, sorghum, millet, fonio, rice, cowpea, soybean, groundnut, voandzou, sesame, tomato, pepper, okra, goussi.",01540,Yam,Dioscorea spp.,Dioscoreaceae,,,1-Jan,1-Jan,30/04,,"2,000-3,000",setts/ha,150-270 days,31/07,31/10,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,7,10,,,,,,
BRA,Brazil,,,,0112,Maize (corn),,,,,1-Jan,1-Jan,3,,,,90,5,9,http://www.amis-outlook.org/amis-about/calendars/en/,5,9,,,,,,
BFA,Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,1-Jan,1-Jan,31/12,,75-80,kg/ha,60-70 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,1-Jan,1-Jan,31/12,,75-80,kg/ha,60-70 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,1-Jan,1-Jan,31/12,,75-80,kg/ha,60-70 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,1-Jan,1-Jan,31/12,,75-80,kg/ha,60-70 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",01241,"Bean, green",Phaseolus vulgaris L.,Fabaceae,,,1-Jan,1-Jan,31/12,,75-80,kg/ha,60-70 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",01520,Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,1-Jan,31/12,,"10,000-20,000",cuttings/ha,240-360 days,,,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,,,,,,,,
BFA,Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,HF-1 Adama,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Bonica,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Centre Zone (Central Plateau),"The zone covers the provinces of Kadiogo, Bazèga, Boulkiemdé, Ziro, Sapouy, Sissili, Boulgou, Koulpelgo, Nahouri, Zounwégo, Ganzourgou, Oubritenga, Sanmatenga, Kouritenga, Sanguié, and Namentenga.","Pluvial agriculture (millet, maize, sorghum, cowpeas, tubers), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as sedentary livestock comprised mainly of small ruminants and bovines. ",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: Kumba,1-Jan,1-Jan,31/12,,10,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,HF-1 Adama,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Bonica,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,East Zone,"The zone covers the provinces of Gourman, Gnagnan, Tapoa, Kompienga and Komandjari.","Extensive rainfed agriculture (millet, maize, sorghum, groundnut, cowpea, cotton...) and irrigated agriculture (rice, vegetables) and extensive livestock rearing (bovine, small ruminant and poultry).",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: Kumba,1-Jan,1-Jan,31/12,,10,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,HF-1 Adama,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Bonica,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,North Zone (Sahel),"The zone covers the provinces of Soum, Séno, Yagha, and Oudalan.","Agriculture is rainfed (millet, cowpea) and irrigated (below the dams) and extensive livestock rearing dominant. The zone is less conducive for rainfed agriculture.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: Kumba,1-Jan,1-Jan,31/12,,10,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Adama,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Bonica,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,Northwest Zone,"The zone covers the provinces of Yatenga, Bam, Passoré, Sourou, Nayala, Kourwéogo, Loroum, and Zandoma.","Rainfed agriculture (millet, maize, sorghum, cowpeas), cash crops (cotton) and irrigated crops (rice, vegetable crops) as well as extensive livestock rearing that comprises bovine, ovine, caprine, asinine and poultry rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: Kumba,1-Jan,1-Jan,31/12,,10,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,HF-1 Adama,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: HF-1 Bonica,1-Jan,1-Jan,31/12,,0.3,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
BFA,Burkina Faso,West Zone,"The zone covers the provinces of Houet, Kénédougou, Comoé, Léraba, Balé, Mouhoun, Kossi, Banwa, Bougouriba, Ioba, Noumbiel, Poni, and Tuy.","Rainfed agriculture (millet, maize, sorghum, cowpeas, roots and tubers, fonio), cash crops (cotton) and irrigated crops (rice, sugarcane, vegetable crops) as well as an extensive livestock rearing.",01233,Eggplant,Solanum melongena L.,Solanaceae,Aubergine,Variety: Kumba,1-Jan,1-Jan,31/12,,10,kg/ha,95 days,1-Jan,31/12,http://www.fao.org/agriculture/seed/cropcalendar/welcome.do,1,12,,,,,,
