Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),558,Berries nes,2005,2005,1000 Int. $,1515919.765,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),149,"Roots and tubers, nes",2005,2005,1000 Int. $,1461594.615,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1166,"Meat, nes",2005,2005,1000 Int. $,1329584.887,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),234,"Nuts, nes",2005,2005,1000 Int. $,1317667.634,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),225,"Hazelnuts, with shell",2005,2005,1000 Int. $,1216400.281,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1120,"Meat indigenous, horse",2005,2005,1000 Int. $,1196042.581,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),108,"Cereals, nes",2005,2005,1000 Int. $,1098602.914,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),587,Persimmons,2005,2005,1000 Int. $,1069222.918,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),220,Chestnut,2005,2005,1000 Int. $,1063435.493,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),723,"Spices, nes",2005,2005,1000 Int. $,1034506.11,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),507,Grapefruit (inc. pomelos),2005,2005,1000 Int. $,1025316.515,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),547,Raspberries,2005,2005,1000 Int. $,1005513.493,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),687,Pepper (piper spp.),2005,2005,1000 Int. $,929565.6346,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),720,Ginger,2005,2005,1000 Int. $,926516.643,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),366,Artichokes,2005,2005,1000 Int. $,925045.6916,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),333,Linseed,2005,2005,1000 Int. $,836026.8109,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),780,Jute,2005,2005,1000 Int. $,782994.8663,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),402,"Onions, shallots, green",2005,2005,1000 Int. $,769448.0331,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),103,"Grain, mixed",2005,2005,1000 Int. $,764247.429,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),459,Chicory roots,2005,2005,1000 Int. $,752372.2453,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),339,Oilseeds nes,2005,2005,1000 Int. $,736445.8686,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),530,"Cherries, sour",2005,2005,1000 Int. $,704602.0492,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1137,"Meat indigenous, camel",2005,2005,1000 Int. $,704338.882,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),550,Currants,2005,2005,1000 Int. $,682442.3788,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),552,Blueberries,2005,2005,1000 Int. $,666935.4873,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),569,Figs,2005,2005,1000 Int. $,662091.3012,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1130,"Milk, whole fresh camel",2005,2005,1000 Int. $,612732.6562,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),265,Castor oil seed,2005,2005,1000 Int. $,584648.4701,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),1183,Beeswax,2005,2005,1000 Int. $,568564.6288,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),420,"Vegetables, leguminous nes",2005,2005,1000 Int. $,511943.3739,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),773,Flax fibre and tow,2005,2005,1000 Int. $,477590.5083,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),89,Buckwheat,2005,2005,1000 Int. $,452564.7339,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),677,Hops,2005,2005,1000 Int. $,404261.651,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),541,"Fruit, stone nes",2005,2005,1000 Int. $,392813.617,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),554,Cranberries,2005,2005,1000 Int. $,308264.8209,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),299,Melonseed,2005,2005,1000 Int. $,307940.0471,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),210,Lupins,2005,2005,1000 Int. $,286768.7405,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),549,Gooseberries,2005,2005,1000 Int. $,255854.3175,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),693,Cinnamon (canella),2005,2005,1000 Int. $,244468.1275,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),135,Yautia (cocoyam),2005,2005,1000 Int. $,237754.9021,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),698,Cloves,2005,2005,1000 Int. $,232860.3238,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),292,Mustard seed,2005,2005,1000 Int. $,231920.1696,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),789,Sisal,2005,2005,1000 Int. $,201686.9496,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),205,Vetches,2005,2005,1000 Int. $,190560.4672,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),523,Quinces,2005,2005,1000 Int. $,185906.7752,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),280,Safflower seed,2005,2005,1000 Int. $,185353.6947,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),788,Ramie,2005,2005,1000 Int. $,166971.1165,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),702,"Nutmeg, mace and cardamoms",2005,2005,1000 Int. $,166962.9302,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),782,"Bastfibres, other",2005,2005,1000 Int. $,163520.3913,*,Unofficial figure
QV,Value of Agricultural Production,5000,World,152,Gross Production Value (constant 2004-2006 1000 I$),94,Fonio,2005,2005,1000 Int. $,144815.7964,*,Unofficial figure
