"FCL 
Item 
code ","FCL 
Title",Group Nr.,Group Name,Scientific Name,Common Name,P/D,,"FBS 
GROUP Number","FBS 
GROUP Names","Def Comp
Item
Code","Def Comp
Item
Code",PERISHABLE
0176,"Beans, dry",4,PULSES AND DERIVED PRODUCTS,"Phaseolus and Vigna spp.: 
Phaseolus vulgaris 
Phaseolus lunatus 
Phaseolus angularis or Vigna angularis 
Phaseolus aureus 
Phaseolus mungo or Vigna mungo 
Phaseolus coccineus 
Phaseolus calcaratus 
Phaseolus aconitifolius 
Phaseolus acutifolius 
Vigna radiata 
Vigna aconitifolia","
kidney, haricot bean 
lima, butter bean 
adzuki bean 
mungo bean, golden, green gram 
black gram, urd 
scarlet runner bean 
rice bean 
moth bean 
tepary bean",P,y,2546,Beans,0176,"Beans, Dry",NON PERISHABLE
0181,"Broad beans, dry",4,PULSES AND DERIVED PRODUCTS,"Vicia faba: 
Vicia faba var. equina 
Vicia faba var. major 
Vicia faba var. minor","
horse-bean 
broad bean 
field bean",P,y,2549,"Pulses, Other",0181,"Broad Beans, Dry",NON PERISHABLE
0187,"Peas, dry",4,PULSES AND DERIVED PRODUCTS,"Pisum sativum 
Pisum arvense","garden pea 
field pea",P,y,2547,Peas,0187,"Peas, Dry",NON PERISHABLE
0191,"Chick-peas, dry",4,PULSES AND DERIVED PRODUCTS,Cicer arietinum,"chickpea, Bengal gram, garbanzos",P,y,2549,"Pulses, Other",0191,Chick-Peas,NON PERISHABLE
0195,"Cow peas, dry",4,PULSES AND DERIVED PRODUCTS,Vigna sinensis; Dolichos sinensis,"cowpea, blackeye pea/bean",P,y,2549,"Pulses, Other",0195,"Cow Peas, Dry",NON PERISHABLE
0197,Pigeon peas,4,PULSES AND DERIVED PRODUCTS,Cajanus cajan,"pigeon pea, cajan pea, Congo bean",P,y,2549,"Pulses, Other",0197,Pigeon Peas,NON PERISHABLE
0201,"Lentils, dry",4,PULSES AND DERIVED PRODUCTS,"Lens esculenta 
Ervum lens",,P,y,2549,"Pulses, Other",0201,Lentils,NON PERISHABLE
0203,Bambara beans,4,PULSES AND DERIVED PRODUCTS,Voandzeia subterranea or Vigna subterranea,"bambara groundnut, earth pea",P,y,2549,"Pulses, Other",0203,Bambara Beans,NON PERISHABLE
0205,Vetches,4,PULSES AND DERIVED PRODUCTS,Vicia sativa,spring/common vetch,P,y,2549,"Pulses, Other",0205,Vetches,NON PERISHABLE
0210,Lupins,4,PULSES AND DERIVED PRODUCTS,Lupinus spp.,,P,y,2549,"Pulses, Other",0210,Lupins,NON PERISHABLE
0211,Pulses nes,4,PULSES AND DERIVED PRODUCTS,"Including among all: 
Dolichos spp. 
Canavalia spp. 
Psophocarpus tetragonolobus 
Cyamopsis tetragonoloba 
Stizolobium spp. 
Pachyrrhizus erosus","
lablab or hyacinth bean 
jack or sword bean 
winged bean 
guar bean 
velvet bean 
yam bean",P,y,2549,"Pulses, Other",0211,Pulses nes,NON PERISHABLE
0216,Brazil nuts,5,NUTS AND DERIVED PRODUCTS,Bertholletia excelsa,"Brazil, Para or cream nut",P,y,2551,Nuts,0216,Brazil Nuts,NON PERISHABLE
0217,Cashew nuts,5,NUTS AND DERIVED PRODUCTS,Anacardium occidentale,,P,y,2551,Nuts,0217,Cashew Nuts,NON PERISHABLE
0220,Chestnuts,5,NUTS AND DERIVED PRODUCTS,"Castanea spp.: 
Castanea vesca 
Castanea vulgaris 
Castanea sativa",,P,y,2551,Nuts,0220,Chestnuts,NON PERISHABLE
0221,Almonds,5,NUTS AND DERIVED PRODUCTS,"Prunus amygdalus 
Prunus communis 
Amygdalus communis",,P,y,2551,Nuts,0221,Almonds,NON PERISHABLE
0222,Walnuts,5,NUTS AND DERIVED PRODUCTS,"Jugland spp.: 
Jugland regia",,P,y,2551,Nuts,0222,Walnuts,NON PERISHABLE
0223,Pistachios,5,NUTS AND DERIVED PRODUCTS,Pistacia vera,,P,y,2551,Nuts,0223,Pistachios,NON PERISHABLE
0224,Kolanuts,5,NUTS AND DERIVED PRODUCTS,Cola nitida; Cola vera; Cola acuminata,"kola, cola, Sudan cola nut",P,y,2551,Nuts,0224,Kolanuts,NON PERISHABLE
0225,Hazelnuts (Filberts),5,NUTS AND DERIVED PRODUCTS,Corylus avellana,,P,y,2551,Nuts,0225,Hazelnuts (Filberts),NON PERISHABLE
0226,Areca nuts,5,NUTS AND DERIVED PRODUCTS,Areca catechu,"areca, betel nut",P,y,2551,Nuts,0226,Areca Nuts (Betel),NON PERISHABLE
0234,Nuts nes,5,NUTS AND DERIVED PRODUCTS,"Including among all: 
Carya illinoensis 
Caryocar nuciferum 
Canarium spp. 
Lecythis zabucajo 
Macadamia ternifolia 
Pinus pinea","
pecan nut 
butter or swarri nut 
pili nut, Java almond, Chinese olives 
paradise or sapucaia nut 
Queensland, macadamia nut 
pignolia nut",P,y,2551,Nuts,0234,Nuts nes,NON PERISHABLE
0236,Soybeans,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Glycine soja,,P,y,2555,Soyabeans,0236,Soybeans,NON PERISHABLE
0242,"Groundnuts, in shell",6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Arachis hypogaea,,P,y,2556,Groundnuts (Shelled Eq),0242,Groundnuts in Shell,NON PERISHABLE
0249,Coconuts,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Cocos nucifera,Husked coconut,P,y,2560,Coconuts - Incl Copra,0249,Coconuts,NON PERISHABLE
0254,[Oil palm fruit],6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Elaeis guineensis,,P,y,2562,Palm kernels,0254,"Oil palm, fruit",PERISHABLE
0256,Palm kernels,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,,,P,y,2562,Palm kernels,0256,Palm kernels,PERISHABLE
0257,Oil of palm,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P/D,y,2577,Palm Oil,0257,Oil of Palm,NON PERISHABLE
0260,Olives,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Olea europaea,,P,y,2563,Olives,0260,Olives,PERISHABLE
0263,Karite Nuts (Sheanuts),6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Butyrospermum parkii,,P,y,2570,"Oilcrops, Other",0263,Karite Nuts (Sheanuts),NON PERISHABLE
0265,Castor Beans,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Ricinus communis,,P,y,2570,"Oilcrops, Other",0265,Castor Beans,NON PERISHABLE
0267,Sunflower seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Helianthus annuus,,P,y,2557,Sunflowerseed,0267,Sunflower Seed,NON PERISHABLE
0270,Rapeseed or colza seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Brassica napus var. oleifera,,P,y,2558,Rape and Mustardseed,0270,Rapeseed,NON PERISHABLE
0275,Tung Nuts,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,"Aleurites cordata 
Aleurites fordii",,P,y,2570,"Oilcrops, Other",0275,Tung Nuts,NON PERISHABLE
0277,Jojoba Seeds,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Simmondsia californica or S. chinensis,,P,y,2570,"Oilcrops, Other",0277,Jojoba Seeds,SEMI PERISHABLE
0280,Safflower seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Carthamus tinctorius,,P,y,2570,"Oilcrops, Other",0280,Safflower Seed,NON PERISHABLE
0289,Sesame seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Sesamum indicum,,P,y,2561,Sesameseed,0289,Sesame Seed,NON PERISHABLE
0292,Mustard seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,"Brassica alba; Brassica hirta; Sinapis alba
Brassica nigra; Sinapis nigra","white mustard 
black mustard",P,y,2558,Rape and Mustardseed,0292,Mustard seed,NON PERISHABLE
0296,Poppy seed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Papaver somniferum,,P,y,2570,"Oilcrops, Other",0296,Poppy Seed,NON PERISHABLE
0299,Melonseed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Cucumis melo,,P,y,2570,"Oilcrops, Other",0299,Melonseed,NON PERISHABLE
0305,Tallowtree Seeds,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,"Shorea aptera; Shorea stenocarpa 
Sapium sebiferum; Stillingia sebifera","Borneo tallow tree 
Chinese tallow tree",P,y,2570,"Oilcrops, Other",0305,Tallowtree Seeds,NON PERISHABLE
0306,Vegetable tallow,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P/D,y,2586,"Oilcrops Oil, Other",0306,Vegetable Tallow,NON PERISHABLE
0307,Stillingia oil,14,VEGETABLE AND ANIMAL OILS AND FATS,,,P/D,y,2586,"Oilcrops Oil, Other",0307,Oil of Stillingia,NON PERISHABLE
0310,Kapok fruit,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Ceiba pentandra,,P,y,2570,"Oilcrops, Other",0310,Kapok Fruit,NON PERISHABLE
0311,Kapokseed in shell,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,,,P,y,2570,"Oilcrops, Other",0311,Kapokseed in Shell,NON PERISHABLE
0328,[Seed Cotton],6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Gossypium spp.,Unginned cotton,P,,,,,,
0329,Cottonseed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,,,P,,2559,Cottonseed,0329 ,Cottonseed,NON PERISHABLE
0333,Linseed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Linum usitatissimum,Flaxseed,P,y,2570,"Oilcrops, Other",0333,Linseed,NON PERISHABLE
0336,Hempseed,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,Cannabis sativa,,P,y,2570,"Oilcrops, Other",0336,Hempseed,NON PERISHABLE
0339,Oilseeds nes,6,OIL-BEARING CROPS AND DERIVED PRODUCTS,"Including among all: 
Fagus sylvatica 
Aleurites moluccana 
Carapa guineensis 
Croton tiglium 
Bassia latifolia 
Guizotia abyssinica 
Licania rigida 
Perilla frutescens 
Jatropha curcas 
Shorea robusta 
Pongamia glabra 
Astrocaryum spp.","
beech nut 
candlenut 
carapa seed 
croton seed 
illipe seed 
niger seed 
oiticica seed 
perilla seed 
physic nut 
sal tree seed 
pongam seed 
tukuma kernel",P,y,2570,"Oilcrops, Other",0339,Oilseeds nes,NON PERISHABLE
0358,Cabbages,7,VEGETABLES AND DERIVED PRODUCTS,"Brassica chinensis 
Brassica oleracea all var. except botrytis","Chinese, mustard cabbage, pak-choi 
white, red, savoy cabbage, Brussels sprouts, collards, kale and kohlrabi",P,y,2605,"Vegetables, Other",0358,Cabbages,PERISHABLE
0366,Artichokes,7,VEGETABLES AND DERIVED PRODUCTS,Cynara scolymus,,P,y,2605,"Vegetables, Other",0366,Artichokes,PERISHABLE
0367,Asparagus,7,VEGETABLES AND DERIVED PRODUCTS,Asparagus officinalis,,P,y,2605,"Vegetables, Other",0367,Asparagus,PERISHABLE
0372,Lettuce and chicory,7,VEGETABLES AND DERIVED PRODUCTS,"Lactuca sativa 
Cichorium intybus var. foliosum 
Cichorium endivia var. crispa 
Cichorium endivia var. latifolia","
witloof chicory 
endive 
escarole chicory",P,y,2605,"Vegetables, Other",0372,Lettuce,PERISHABLE
0373,Spinach,7,VEGETABLES AND DERIVED PRODUCTS,Spinacia oleracea,,P,y,2605,"Vegetables, Other",0373,Spinach,PERISHABLE
0378,Cassava leaves,7,VEGETABLES AND DERIVED PRODUCTS,"Manihot esculenta 
Manihot utilissima",,P,y,2605,"Vegetables, Other",0378,Cassava Leaves,PERISHABLE
0388,"Tomatoes, fresh",7,VEGETABLES AND DERIVED PRODUCTS,Lycopersicon esculentum,,P,y,2601,Tomatoes,0388,Tomatoes,PERISHABLE
0393,Cauliflowers and broccoli,7,VEGETABLES AND DERIVED PRODUCTS,"Brassica oleracea var. botrytis, subvariety cauliflora and cymosa",,P,y,2605,"Vegetables, Other",0393,Cauliflower,PERISHABLE
0394,"Pumpkins, squash and gourds",7,VEGETABLES AND DERIVED PRODUCTS,Cucurbita spp.,,P,y,2605,"Vegetables, Other",0394,"Pumpkins, Squash, Gourds",SEMI PERISHABLE
0397,Cucumbers and gherkins,7,VEGETABLES AND DERIVED PRODUCTS,Cucumis sativus,,P,y,2605,"Vegetables, Other",0397,Cucumbers and Gherkins,PERISHABLE
0399,Eggplants,7,VEGETABLES AND DERIVED PRODUCTS,Solanum melongena,,P,y,2605,"Vegetables, Other",0399,Eggplants,PERISHABLE
0401,Chillies and peppers (green),7,VEGETABLES AND DERIVED PRODUCTS,"Capsicum annuum 
Capsicum fructescens 
Pimenta officinalis",,P,y,2605,"Vegetables, Other",0401,"Chillies&Peppers, Green",PERISHABLE
0402,"Onions, shallots (green)",7,VEGETABLES AND DERIVED PRODUCTS,"Allium ascalonicum
Allium cepa
Allium fistulosum","shallots
onions
welsh onions",P,y,2605,"Vegetables, Other",0402,"Onions+Shallots, Green",PERISHABLE
0403,"Onions, dry",7,VEGETABLES AND DERIVED PRODUCTS,Allium cepa,,P,y,2602,Onions,0403,"Onions, Dry",SEMI PERISHABLE
0406,Garlic,7,VEGETABLES AND DERIVED PRODUCTS,Allium sativum,,P,y,2605,"Vegetables, Other",0406,Garlic,SEMI PERISHABLE
0407,Leeks and other alliaceous vegetables,7,VEGETABLES AND DERIVED PRODUCTS,"Allium porrum
Allium schoenoprasum","leeks
chives
",P,y,2605,"Vegetables, Other",0407,Leeks and Oth.Alliac.Veg,SEMI PERISHABLE
0414,"Beans, green",7,VEGETABLES AND DERIVED PRODUCTS,"Phaseolus spp.
Vigna spp.",,P,y,2605,"Vegetables, Other",0414,"Beans, Green",PERISHABLE
0417,"Peas, green",7,VEGETABLES AND DERIVED PRODUCTS,Pisum sativum,,P,y,2605,"Vegetables, Other",0417,"Peas, Green",PERISHABLE
0420,"Broad Beans, Green",7,VEGETABLES AND DERIVED PRODUCTS,Vicia faba,,P,y,2605,"Vegetables, Other",0420,"Broad Beans, Green",PERISHABLE
0423,String Beans,7,VEGETABLES AND DERIVED PRODUCTS,Phaseolus vulgaris,,P,y,2605,"Vegetables, Other",0423,String Beans,PERISHABLE
0426,Carrot,7,VEGETABLES AND DERIVED PRODUCTS,Daucus carota,,P,y,2605,"Vegetables, Other",0426,Carrots,SEMI PERISHABLE
0430,Okra,7,VEGETABLES AND DERIVED PRODUCTS,"Abelmoschus esculentus 
Hibiscus esculentus",,P,y,2605,"Vegetables, Other",0430,Okra,PERISHABLE
0446,Green Corn (Maize),7,VEGETABLES AND DERIVED PRODUCTS,"Zea mays, particularly var. saccharata",,P,y,2605,"Vegetables, Other",0446,Green Corn (Maize),PERISHABLE
0449,Mushrooms,7,VEGETABLES AND DERIVED PRODUCTS,"Including among all: 
Boletus edulis 
Agaricus campestris 
Morchella spp. 
Tuber magnatum",,P,y,2605,"Vegetables, Other",0449,Mushrooms,PERISHABLE
0459,Chicory roots,13,TOBACCO AND RUBBER AND OTHER CROPS,"Cichorium intybus 
Cichorium sativum",,P,y,2605,"Vegetables, Other",0459,Chicory Roots,SEMI PERISHABLE
0460,"Vegetable products, fresh or dry nes",13,TOBACCO AND RUBBER AND OTHER CROPS,,,P/D,,,,,,
0461,Carobs,13,TOBACCO AND RUBBER AND OTHER CROPS,Ceratonia siliqua,"Carob-tree, locust bean",P,y,2605,"Vegetables, Other",0461,Carobs,NON PERISHABLE
0463,"Vegetables, Fresh n.e.s.",7,VEGETABLES AND DERIVED PRODUCTS,"Including among all: 
Bambusa spp. 
Beta vulgaris 
Capparis spinosa 
Cynara cardunculus 
Apium graveolens 
Anthriscus cerefolium 
Lepidium sativum 
Foeniculum vulgare 
Cochlearia armoracia 
Majorana hortensis 
Tragopogon porrifolius 
Petroselinum crispum 
Pastinaca sativa 
Raphanus sativu 
Rheum spp. 
Brassica napus 
Satureja hortensis 
Scorzonera hispanica 
Rumex acetosa 
Artemisia dracunculus 
Nasturtium officinale","
bamboo shoots 
beets, chards 
capers 
cardoons 
celery 
chervil 
cress 
fennel 
horseradish 
marjoram, sweet 
oyster plant 
parsley 
parsnips 
radish 
rhubarb 
rutabagas, swedes 
savory 
scorzonera 
sorrel 
soybean sprouts tarragon 
watercress 
",P,y,2605,"Vegetables, Other",0463,Vegetables Fresh nes,PERISHABLE
0486,Bananas,8,FRUITS AND DERIVED PRODUCTS,"Musa sapientum 
Musa cavendishii 
Musa nana",,P,y,2615,Bananas,0486,Bananas,PERISHABLE
0489,Plantains,8,FRUITS AND DERIVED PRODUCTS,Musa paradisiaca,,P,y,2616,Plantains,0489,Plantains,PERISHABLE
0490,Oranges,8,FRUITS AND DERIVED PRODUCTS,"Citrus sinensis
Citrus aurantium","common, sweet orange
bitter orange",P,y,2611,"Oranges, Mandarines",0490,Oranges,PERISHABLE
0495,"Tangerines, mandarins, clementines, satsumas",8,FRUITS AND DERIVED PRODUCTS,"Citrus reticulata 
Citrus unshiu","mandarin, tangerine 
clementine, satsuma",P,y,2611,"Oranges, Mandarines",0495,Tang.Mand.Clement.Satsma,PERISHABLE
0497,Lemons and limes,8,FRUITS AND DERIVED PRODUCTS,"Citrus limon 
Citrus aurantifolia 
Citrus limetta","lemon 
sour lime 
sweet lime",P,y,2612,"Lemons, Limes",0497,Lemons and Limes,PERISHABLE
0507,Grapefruit and pomelo,8,FRUITS AND DERIVED PRODUCTS,"Citrus maxima 
Citrus grandis 
Citrus paradisi",,P,y,2613,Grapefruit,0507,Grapefruit and Pomelos,PERISHABLE
0512,Citrus fruit nes,8,FRUITS AND DERIVED PRODUCTS,"Including among all: 
Citrus bergamia 
Citrus medica var. cedrata 
Citrus myrtifolia 
Fortunella japonica","
bergamot 
citron 
chinotto 
kumquat",P,y,2614,"Citrus, Other",0512,Citrus Fruit nes,PERISHABLE
0515,Apples,8,FRUITS AND DERIVED PRODUCTS,"Malus pumila 
Malus sylvestris 
Malus communis 
Pyrus malus",,P,y,2617,Apples,0515,Apples,SEMI PERISHABLE
0521,Pears,8,FRUITS AND DERIVED PRODUCTS,Pyrus communis,,P,y,2625,"Fruits, Other",0521,Pears,PERISHABLE
0523,Quinces,8,FRUITS AND DERIVED PRODUCTS,"Cydonia oblonga 
Cydonia vulgaris 
Cydonia japonica",,P,y,2625,"Fruits, Other",0523,Quinces,PERISHABLE
0526,Apricots,8,FRUITS AND DERIVED PRODUCTS,Prunus armeniaca,,P,y,2625,"Fruits, Other",0526,Apricots,PERISHABLE
0530,Sour cherries,8,FRUITS AND DERIVED PRODUCTS,"Prunus cerasus 
Cerasus acida",,P,y,2625,"Fruits, Other",0530,Sour Cherries,PERISHABLE
0531,Cherries,8,FRUITS AND DERIVED PRODUCTS,"Prunus avium; Cerasus avium 
var. duracina 
var. juliana","mazzard, sweet cherry 
hard-fleshed cherry 
heart cherry",P,y,2625,"Fruits, Other",0531,Cherries,PERISHABLE
0534,Peaches and nectarines,8,FRUITS AND DERIVED PRODUCTS,"Prunus persica 
Amygdalus persica 
Persica laevis",,P,y,2625,"Fruits, Other",0534,Peaches and Nectarines,PERISHABLE
0536,Plums,8,FRUITS AND DERIVED PRODUCTS,"Prunus domestica 
Prunus spinosa","greengage, mirabelle, damson 
sloe",P,y,2625,"Fruits, Other",0536,Plums,PERISHABLE
0541,"Stone fruit, fresh nes",8,FRUITS AND DERIVED PRODUCTS,,,P,y,2625,"Fruits, Other",0541,"Stone Fruit nes, Fresh",PERISHABLE
0542,Pome fruit nes,8,FRUITS AND DERIVED PRODUCTS,,,P,y,2625,"Fruits, Other",0542,"Pome Fruit nes, Fresh",PERISHABLE
0544,Strawberries,8,FRUITS AND DERIVED PRODUCTS,Fragaria spp.,,P,y,2625,"Fruits, Other",0544,Strawberries,PERISHABLE
0547,Raspberries,8,FRUITS AND DERIVED PRODUCTS,Rubus idaeus,,P,y,2625,"Fruits, Other",0547,Raspberries,PERISHABLE
0549,Gooseberries,8,FRUITS AND DERIVED PRODUCTS,Ribes grossularia,,P,y,2625,"Fruits, Other",0549,Gooseberries,PERISHABLE
0550,Currants,8,FRUITS AND DERIVED PRODUCTS,"Ribes nigrum
Ribes rubrum","black
red and white",P,y,2625,"Fruits, Other",0550,Currants,PERISHABLE
0552,Blueberries,8,FRUITS AND DERIVED PRODUCTS,"Vaccinium myrtillus
Vaccinium corymbosum","European blueberry, wild bilberry, whortleberry
American blueberry",P,y,2625,"Fruits, Other",0552,Blueberries,PERISHABLE
0554,Cranberries,8,FRUITS AND DERIVED PRODUCTS,"Vaccinium macrocarpon
Vaccinium oxycoccus","American cranberry 
European cranberry",P,y,2625,"Fruits, Other",0554,Cranberries,PERISHABLE
0558,Berries nes,8,FRUITS AND DERIVED PRODUCTS,"Including among all: 
Morus nigra 
Morus alba; Morus rubra 
Myrtus communis 
Gaylussacia spp.","
blackberry 
loganberry; white, red mulberry 
myrtle berry 
huckleberry, dangleberry",P,y,2625,"Fruits, Other",0558,Berries nes,PERISHABLE
0560,Grapes,8,FRUITS AND DERIVED PRODUCTS,Vitis vinifera,,P,y,2620,Grapes,0560,Grapes,PERISHABLE
0567,Watermelons,7,VEGETABLES AND DERIVED PRODUCTS,Citrullus vulgaris,,P,y,2625,"Fruits, Other",0567,Watermelons,PERISHABLE
0568,"Melons, Cantaloupes",7,VEGETABLES AND DERIVED PRODUCTS,Cucumis melo,,P,y,2625,"Fruits, Other",0568,Cantaloupes&oth Melons,PERISHABLE
0569,Figs,8,FRUITS AND DERIVED PRODUCTS,Ficus carica,,P,y,2625,"Fruits, Other",0569,Figs,PERISHABLE
0571,Mangoes,8,FRUITS AND DERIVED PRODUCTS,Mangifera indica,,P,y,2625,"Fruits, Other",0571,Mangoes,PERISHABLE
